Please wait while I teach myself to play Sim-5.
This may take a few minutes.
14883
Elapsed time: 313.745809
I'm ready to play. You go first.

         1054912572 function calls (1054893732 primitive calls) in 314.299 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    577/1    0.003    0.000  314.299  314.299 {built-in method builtins.exec}
        1    0.000    0.000  314.299  314.299 sim.py:1(<module>)
        1    0.000    0.000  313.746  313.746 sim.py:97(__init__)
        1    0.000    0.000  313.746  313.746 sim.py:109(initialize_evaluation_graph)
  11724/1    4.914    0.000  313.746  313.746 sim.py:143(add_eg_children)
348643342  112.275    0.000  247.832    0.000 <frozen _collections_abc>:859(__iter__)
    30060   38.423    0.001  223.381    0.007 sim.py:137(add_edge_to_existing_node)
348616441  109.884    0.000  135.516    0.000 reportviews.py:188(__getitem__)
    11724   13.199    0.001   77.635    0.007 sim.py:117(add_eg_children_prelude)
348680068   25.649    0.000   25.649    0.000 {built-in method builtins.isinstance}
    44942    0.349    0.000    5.818    0.000 sim.py:124(prepare_next_board)
    56668    2.730    0.000    4.988    0.000 sim.py:20(__init__)
   147230    0.280    0.000    1.457    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
       58    0.004    0.000    1.371    0.024 __init__.py:1(<module>)
    27684    0.188    0.000    0.899    0.000 sim.py:37(check_win_condition)
    51143    0.082    0.000    0.889    0.000 <__array_function__ internals>:177(sum)
    23459    0.264    0.000    0.835    0.000 sim.py:44(get_valid_moves)
    78827    0.180    0.000    0.744    0.000 fromnumeric.py:69(_wrapreduction)
    51143    0.116    0.000    0.739    0.000 fromnumeric.py:2188(sum)
    56667    0.221    0.000    0.726    0.000 sim.py:15(compute_state_hash)
    44942    0.609    0.000    0.609    0.000 sim.py:33(update_board)
  5666800    0.601    0.000    0.601    0.000 {method 'issubset' of 'frozenset' objects}
    642/5    0.004    0.000    0.553    0.111 <frozen importlib._bootstrap>:1165(_find_and_load)
    640/5    0.003    0.000    0.553    0.111 <frozen importlib._bootstrap>:1120(_find_and_load_unlocked)
    623/6    0.002    0.000    0.549    0.092 <frozen importlib._bootstrap>:666(_load_unlocked)
    554/6    0.001    0.000    0.549    0.092 <frozen importlib._bootstrap_external>:934(exec_module)
  1463/11    0.001    0.000    0.548    0.050 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
