Please wait while I teach myself to play Sim-5.
This may take a few minutes.
14883
Elapsed time: 279.913106
I'm ready to play. You go first.

         1048127414 function calls (1048108574 primitive calls) in 280.421 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    577/1    0.004    0.000  280.421  280.421 {built-in method builtins.exec}
        1    0.000    0.000  280.421  280.421 sim.py:1(<module>)
        1    0.000    0.000  279.913  279.913 sim.py:99(__init__)
        1    0.000    0.000  279.913  279.913 sim.py:110(initialize_evaluation_graph)
  11724/1    4.467    0.000  279.913  279.913 sim.py:148(add_eg_children)
348643342  103.351    0.000  222.276    0.000 <frozen _collections_abc>:859(__iter__)
    30060   36.245    0.001  202.059    0.007 sim.py:138(add_edge_to_existing_node)
348616441   95.601    0.000  118.883    0.000 reportviews.py:188(__getitem__)
    11724   12.438    0.001   69.395    0.006 sim.py:118(add_eg_children_prelude)
348680068   23.295    0.000   23.295    0.000 {built-in method builtins.isinstance}
    44942    0.268    0.000    2.029    0.000 sim.py:125(prepare_next_board)
   147230    0.280    0.000    1.451    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
       58    0.004    0.000    1.252    0.022 __init__.py:1(<module>)
    23459    0.309    0.000    0.849    0.000 sim.py:46(get_valid_moves)
    27684    0.171    0.000    0.848    0.000 sim.py:39(check_win_condition)
    51143    0.082    0.000    0.847    0.000 <__array_function__ internals>:177(sum)
    51143    0.114    0.000    0.701    0.000 fromnumeric.py:2188(sum)
    78827    0.173    0.000    0.700    0.000 fromnumeric.py:69(_wrapreduction)
    56667    0.202    0.000    0.653    0.000 sim.py:27(compute_state_hash)
    44942    0.522    0.000    0.522    0.000 sim.py:35(update_board)
    642/5    0.004    0.000    0.507    0.101 <frozen importlib._bootstrap>:1165(_find_and_load)
    640/5    0.002    0.000    0.507    0.101 <frozen importlib._bootstrap>:1120(_find_and_load_unlocked)
    623/6    0.002    0.000    0.504    0.084 <frozen importlib._bootstrap>:666(_load_unlocked)
    554/6    0.001    0.000    0.504    0.084 <frozen importlib._bootstrap_external>:934(exec_module)
  1463/11    0.001    0.000    0.502    0.046 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
   480/27    0.001    0.000    0.485    0.018 {built-in method builtins.__import__}
    44942    0.083    0.000    0.477    0.000 <__array_function__ internals>:177(copy)
   675/51    0.001    0.000    0.476    0.009 <frozen importlib._bootstrap>:1207(_handle_fromlist)
    78827    0.452    0.000    0.452    0.000 {method 'reduce' of 'numpy.ufunc' objects}
    56668    0.140    0.000    0.362    0.000 sim.py:32(__init__)
    56668    0.320    0.000    0.320    0.000 {built-in method _hashlib.openssl_sha256}
    44942    0.040    0.000    0.318    0.000 function_base.py:871(copy)
    27684    0.029    0.000    0.285    0.000 <__array_function__ internals>:177(any)
    45067    0.278    0.000    0.278    0.000 {built-in method numpy.array}
    56669    0.222    0.000    0.222    0.000 {built-in method numpy.zeros}
      554    0.005    0.000    0.217    0.000 <frozen importlib._bootstrap_external>:1007(get_code)
    44942    0.168    0.000    0.198    0.000 digraph.py:643(add_edge)
    27684    0.028    0.000    0.153    0.000 fromnumeric.py:2333(any)
      554    0.002    0.000    0.152    0.000 <frozen importlib._bootstrap_external>:1127(get_data)
    56667    0.131    0.000    0.131    0.000 {method 'digest' of '_hashlib.HASH' objects}
    14882    0.039    0.000    0.130    0.000 sim.py:144(add_new_node)
      554    0.115    0.000    0.115    0.000 {built-in method io.open_code}
      632    0.004    0.000    0.103    0.000 <frozen importlib._bootstrap>:1054(_find_spec)
      616    0.001    0.000    0.094    0.000 <frozen importlib._bootstrap_external>:1496(find_spec)
4288/3613    0.001    0.000    0.093    0.000 {built-in method builtins.hasattr}
      616    0.002    0.000    0.093    0.000 <frozen importlib._bootstrap_external>:1464(_get_spec)
        1    0.000    0.000    0.093    0.093 _orthogonal.py:1(<module>)
      3/1    0.000    0.000    0.093    0.093 __init__.py:198(__getattr__)
      3/1    0.000    0.000    0.093    0.093 __init__.py:108(import_module)
      3/1    0.000    0.000    0.093    0.093 <frozen importlib._bootstrap>:1192(_gcd_import)
    23459    0.025    0.000    0.086    0.000 <__array_function__ internals>:177(where)
  623/622    0.001    0.000    0.085    0.000 <frozen importlib._bootstrap>:566(module_from_spec)
      821    0.006    0.000    0.085    0.000 <frozen importlib._bootstrap_external>:1604(find_spec)
    41784    0.054    0.000    0.075    0.000 <frozen _collections_abc>:790(items)
    53/52    0.000    0.000    0.066    0.001 <frozen importlib._bootstrap_external>:1231(create_module)
    53/52    0.065    0.001    0.066    0.001 {built-in method _imp.create_dynamic}
     2214    0.001    0.000    0.062    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
     2217    0.062    0.000    0.062    0.000 {built-in method nt.stat}
    78827    0.060    0.000    0.060    0.000 fromnumeric.py:70(<dictcomp>)
        1    0.000    0.000    0.056    0.056 _sketches.py:1(<module>)
    14883    0.033    0.000    0.051    0.000 function.py:555(set_node_attributes)
    44942    0.051    0.000    0.051    0.000 graph.py:453(__contains__)
    41784    0.025    0.000    0.050    0.000 reportviews.py:185(__iter__)
    14883    0.041    0.000    0.046    0.000 digraph.py:420(add_node)
        1    0.000    0.000    0.045    0.045 backends.py:1(<module>)
      554    0.002    0.000    0.035    0.000 <frozen importlib._bootstrap_external>:727(_compile_bytecode)
      554    0.033    0.000    0.033    0.000 {built-in method marshal.loads}
      554    0.029    0.000    0.029    0.000 {method 'read' of '_io.BufferedReader' objects}
    76442    0.029    0.000    0.029    0.000 {method 'update' of 'dict' objects}
     3961    0.019    0.000    0.028    0.000 <frozen importlib._bootstrap_external>:96(_path_join)
        2    0.000    0.000    0.027    0.013 _adapters.py:1(<module>)
        1    0.000    0.000    0.025    0.025 _laplacian.py:1(<module>)
    41793    0.025    0.000    0.025    0.000 {built-in method builtins.iter}
        1    0.000    0.000    0.024    0.024 message.py:1(<module>)
    41784    0.021    0.000    0.021    0.000 <frozen _collections_abc>:812(__init__)
      781    0.001    0.000    0.020    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
      723    0.000    0.000    0.020    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
        5    0.000    0.000    0.020    0.004 utils.py:1(<module>)
    53/45    0.000    0.000    0.018    0.000 <frozen importlib._bootstrap_external>:1239(exec_module)
    53/45    0.006    0.000    0.018    0.000 {built-in method _imp.exec_dynamic}
    93791    0.018    0.000    0.018    0.000 {method 'items' of 'dict' objects}
      623    0.002    0.000    0.017    0.000 <frozen importlib._bootstrap>:493(_init_module_attrs)
     1108    0.003    0.000    0.017    0.000 <frozen importlib._bootstrap_external>:437(cache_from_source)
    17472    0.015    0.000    0.017    0.000 {built-in method builtins.max}
  595/583    0.007    0.000    0.017    0.000 {built-in method builtins.__build_class__}
    54874    0.017    0.000    0.017    0.000 {method 'append' of 'list' objects}
        1    0.000    0.000    0.017    0.017 decorators.py:1(<module>)
        1    0.000    0.000    0.015    0.015 traveling_salesman.py:1(<module>)
        1    0.000    0.000    0.014    0.014 _pickle.py:1(<module>)
    47217    0.013    0.000    0.013    0.000 {method 'get' of 'dict' objects}
      554    0.000    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:1146(path_stats)
    18343    0.012    0.000    0.012    0.000 {built-in method builtins.min}
     1161    0.001    0.000    0.012    0.000 <frozen importlib._bootstrap>:392(cached)
      607    0.001    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:567(_get_cached)
        2    0.000    0.000    0.011    0.005 _distributor_init.py:1(<module>)
      169    0.000    0.000    0.011    0.000 __init__.py:272(_compile)
       39    0.000    0.000    0.010    0.000 __init__.py:225(compile)
       43    0.000    0.000    0.010    0.000 _compiler.py:738(compile)
        1    0.000    0.000    0.010    0.010 multiarray.py:1(<module>)
        1    0.000    0.000    0.009    0.009 index_tricks.py:1(<module>)
        1    0.000    0.000    0.009    0.009 overrides.py:1(<module>)
        2    0.000    0.000    0.009    0.004 _matfuncs.py:1(<module>)
    44942    0.008    0.000    0.008    0.000 function_base.py:867(_copy_dispatcher)
        1    0.000    0.000    0.008    0.008 socket.py:1(<module>)
        1    0.000    0.000    0.008    0.008 pathlib.py:1(<module>)
39887/39629    0.008    0.000    0.008    0.000 {built-in method builtins.len}
    51143    0.007    0.000    0.007    0.000 fromnumeric.py:2183(_sum_dispatcher)
        1    0.000    0.000    0.007    0.007 _misc.py:1(<module>)
        1    0.000    0.000    0.007    0.007 branchings.py:1(<module>)
        1    0.000    0.000    0.007    0.007 numeric.py:1(<module>)
        1    0.000    0.000    0.007    0.007 gexf.py:1(<module>)
        2    0.000    0.000    0.006    0.003 _basic.py:1(<module>)
       58    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:1655(_fill_cache)
       43    0.000    0.000    0.006    0.000 _parser.py:970(parse)
        1    0.000    0.000    0.006    0.006 zipfile.py:1(<module>)
   109/43    0.000    0.000    0.006    0.000 _parser.py:447(_parse_sub)
        1    0.000    0.000    0.006    0.006 __init__.py:32(__enter__)
      554    0.006    0.000    0.006    0.000 {method '__exit__' of '_io._IOBase' objects}
        1    0.000    0.000    0.006    0.006 iterative.py:1(<module>)
      881    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:1421(_path_importer_cache)
      642    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap>:169(__enter__)
   138/45    0.002    0.000    0.006    0.000 _parser.py:507(_parse)
        2    0.000    0.000    0.005    0.003 misc.py:1(<module>)
        1    0.000    0.000    0.005    0.005 charset.py:1(<module>)
       58    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1408(_path_hooks)
      314    0.001    0.000    0.005    0.000 overrides.py:170(decorator)
      607    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1599(_get_spec)
    11549    0.005    0.000    0.005    0.000 {built-in method builtins.getattr}
        1    0.000    0.000    0.005    0.005 defmatrix.py:1(<module>)
        2    0.000    0.000    0.005    0.002 version.py:1(<module>)
     1393    0.003    0.000    0.005    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
     1108    0.002    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
        2    0.000    0.000    0.005    0.002 abc.py:1(<module>)
    27684    0.004    0.000    0.004    0.000 fromnumeric.py:2328(_any_dispatcher)
       58    0.004    0.000    0.004    0.000 {built-in method nt.listdir}
        1    0.000    0.000    0.004    0.004 ElementTree.py:1(<module>)
      751    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:216(_lock_unlock_module)
        1    0.000    0.000    0.004    0.004 graph_hashing.py:1(<module>)
        2    0.000    0.000    0.004    0.002 shape_base.py:1(<module>)
        1    0.000    0.000    0.004    0.004 __init__.py:335(_sanity_check)
        1    0.000    0.000    0.004    0.004 lapack.py:1(<module>)
      861    0.002    0.000    0.004    0.000 functools.py:35(update_wrapper)
        1    0.004    0.004    0.004    0.004 {method 'dot' of 'numpy.ndarray' objects}
      607    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:778(spec_from_file_location)
    23459    0.004    0.000    0.004    0.000 multiarray.py:345(where)
        2    0.000    0.000    0.004    0.002 _version.py:1(<module>)
        1    0.000    0.000    0.004    0.004 chordal.py:1(<module>)
        1    0.000    0.000    0.004    0.004 parse.py:1(<module>)
        1    0.000    0.000    0.004    0.004 hashlib.py:1(<module>)
       43    0.000    0.000    0.004    0.000 _compiler.py:571(_code)
        1    0.000    0.000    0.003    0.003 py3k.py:1(<module>)
        1    0.000    0.000    0.003    0.003 betweenness.py:1(<module>)
        1    0.000    0.000    0.003    0.003 linalg.py:1(<module>)
        1    0.000    0.000    0.003    0.003 bz2.py:1(<module>)
     3961    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:119(<listcomp>)
        1    0.000    0.000    0.003    0.003 _csr.py:1(<module>)
        1    0.000    0.000    0.003    0.003 fromnumeric.py:1(<module>)
